"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","elevation","locality","continent","preparations","type","county","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.043007,22.328674,"Central and Western",2022,4,29,"cdround","https://www.inaturalist.org/observations/113495229","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772705797","113495229",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.26209,22.50991,"Sha Tin",2022,5,27,"cdround","https://www.inaturalist.org/observations/119375836","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859678684","119375836",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.312995,22.243058,"Sai Kung",2022,6,7,"cdround","https://www.inaturalist.org/observations/120781202","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3859398813","120781202",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.028506,22.57298,"Tai Po",2022,6,20,"cdround,cudc","https://www.inaturalist.org/observations/122765760","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3873643743","122765760",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",113.905146,22.25098,"Islands",2022,7,25,"cdround","https://www.inaturalist.org/observations/127874090","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873407531","127874090",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.024863,22.282589,"Central and Western",2022,7,15,"cdround","https://www.inaturalist.org/observations/126506415","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3873482535","126506415",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",113.972673,22.325699,"Islands",2022,7,12,"cdround","https://www.inaturalist.org/observations/125932806","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873668135","125932806",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.079962,22.360663,"Tsuen Wan",2022,7,21,"cdround","https://www.inaturalist.org/observations/127373903","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3874118017","127373903",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.100389,22.582352,"Tsuen Wan",2022,8,2,"cdround","https://www.inaturalist.org/observations/129169633","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3881905877","129169633",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.092399,22.362865,"Central and Western",2021,4,9,"cdround","https://www.inaturalist.org/observations/73405676","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3090632138","73405676",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.138068,22.304412,"Tsuen Wan",2021,4,13,"cdround","https://www.inaturalist.org/observations/73924517","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3090961840","73924517",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.032495,22.37693,"Sha Tin",2021,8,3,"cdround","https://www.inaturalist.org/observations/96046384","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384999198","96046384",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.188809,22.510103,"Yuen Long",2021,9,10,"cdround","https://www.inaturalist.org/observations/94535544","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384321576","94535544",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.040693,22.480448,"Tsuen Wan",2021,9,9,"cdround","https://www.inaturalist.org/observations/95013003","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384693106","95013003",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.031319,22.356382,"Central and Western",2021,10,10,"cdround","https://www.inaturalist.org/observations/97884381","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3391379964","97884381",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.136115,22.555614,"Yuen Long",2021,10,23,"cdround","https://www.inaturalist.org/observations/99040648","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3399067807","99040648",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.135503,22.34897,"Southern",2020,5,19,"cdround","https://www.inaturalist.org/observations/46591595","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2626275504","46591595",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.178861,22.93609,"Guangdong",2020,6,13,"cdround","https://www.inaturalist.org/observations/53698439","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2868085438","53698439",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.048186,22.353517,"Central and Western",2020,6,15,"cdround","https://www.inaturalist.org/observations/51385196","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3067638969","51385196",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.358121,22.351356,"Southern",2020,8,21,"cdround","https://www.inaturalist.org/observations/57300820","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2856545884","57300820",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.120858,22.564939,"Tsuen Wan",2020,8,28,"cdround","https://www.inaturalist.org/observations/57899603","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2860181756","57899603",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.089888,22.305247,"Central and Western",2020,8,19,"cdround","https://www.inaturalist.org/observations/57173158","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3031819887","57173158",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.345007,22.291646,"Southern",2019,5,20,"cdround","https://www.inaturalist.org/observations/25443828","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2244280504","25443828",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.071146,22.740899,"Guangdong",2019,7,21,"cdround","https://www.inaturalist.org/observations/29694238","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2579225666","29694238",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.177552,22.499168,"Tai Po",2019,9,20,"cdround","https://www.inaturalist.org/observations/33126256","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2423171019","33126256",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",113.926114,22.305967,"Islands",2018,5,26,"cdround","https://www.inaturalist.org/observations/18930561","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1950008321","18930561",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.102332,22.318235,"Central and Western",2018,7,19,"cdround","https://www.inaturalist.org/observations/17218947","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1920797920","17218947",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.003324,22.462492,"Yuen Long",2018,9,21,"cdround","https://www.inaturalist.org/observations/18200964","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1935618573","18200964",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.18814,22.305148,"Tsuen Wan",2018,10,19,"cdround","https://www.inaturalist.org/observations/17648642","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1931534761","17648642",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.202695,22.30578,"Sai Kung",2016,5,10,"cdround","https://www.inaturalist.org/observations/25659582","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2251862503","25659582",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.162416,22.577922,"Tai Po",2016,7,3,"cdround","https://www.inaturalist.org/observations/47267429","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2634425543","47267429",NA,NA,NA,NA,NA,NA,NA
"dfce4512-2062-4cd8-8ce7-bfe59cbbe6aa","MATERIAL_CITATION","PRESENT","Opisthotropis andersonii",113.38279,23.30633,"Guangdong Province",2016,10,NA,"gass84,osiic","http://treatment.plazi.org/id/1B666942FFDFFF97FF59FB31FBBC56A5","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1451078611",NA,55,"Table",NA,NA,NA,NA,NA
"dfce4512-2062-4cd8-8ce7-bfe59cbbe6aa","MATERIAL_CITATION","PRESENT","Opisthotropis andersonii",114.200745,22.58189,"Shan",2015,3,13,"gass84,osiic","http://treatment.plazi.org/id/1B666942FFDFFF97FF59FB31FBBC56A5","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1451078608",NA,275,"Mt. Wutong",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.179597,22.380132,"Eastern",2014,6,22,"cdround","https://www.inaturalist.org/observations/15473720","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1891345287","15473720",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.089368,22.386723,"Sha Tin",2014,7,6,"cdround","https://www.inaturalist.org/observations/19778152","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1990551454","19778152",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.168495,22.490129,"Tai Po",2013,5,30,"cdround","https://www.inaturalist.org/observations/47267428","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2634429533","47267428",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.173568,22.488887,"Tai Po",2013,11,3,"cdround","https://www.inaturalist.org/observations/917267","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1880674623","917267",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.333606,22.227444,"Eastern",2012,7,11,"cdround","https://www.inaturalist.org/observations/21656178","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2234797854","21656178",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",113.966357,22.226726,"Islands",2011,5,27,"cdround","https://www.inaturalist.org/observations/31899","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1457580765","31899",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis andersonii",114.197039,22.260284,"Tsuen Wan",2011,10,9,"cdround","https://www.inaturalist.org/observations/478104","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1052567203","478104",NA,NA,NA,NA,NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Opisthotropis andersonii",107.889133,21.846233,"Guangxi",2005,4,29,"cdround,gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686676663","311550",NA,"Shiwan Dashang Nature Reserve (Near town of Fulong)","ASIA","ETOH - 1; tissue - 100",NA,NA,NA
"861d3d64-f762-11e1-a439-00145eb45e9a","PRESERVED_SPECIMEN","PRESENT","Opisthotropis andersonii",113.879262,22.247831,NA,2000,7,5,"osiic,inmafu","http://collections.peabody.yale.edu/search/Record/YPM-HERR-009821","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1039468063","YPM HERR 009821",NA,"Keung Shan, ca. 100m","ASIA","10% form.->70% alc.; CT Scan","PhysicalObject",NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Opisthotropis andersonii",113.891084,22.230397,"Hong Kong",1991,8,26,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-176519","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476695162","R-176519",NA,"Lantau,Catchwater just E. of Shek Pik Reservoir [VERBATIM ELEVATION:ca 90m]","ASIA","whole animal (ethanol)",NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Opisthotropis andersonii",114.119613,22.431466,"Hong Kong",1990,5,22,"cudc,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-175990","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476700565","R-175990",NA,"Kadoorie Farm [VERBATIM ELEVATION:250m]","ASIA","whole animal (ethanol)",NA,"New Territories",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Opisthotropis andersonii",114.137891,22.409394,"Hong Kong",1990,5,22,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-175992","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476700567","R-175992",360,"NW slope of Tai Mo Shan","ASIA","whole animal (ethanol)",NA,"New Territories",0
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Opisthotropis andersonii",113.952793,22.257486,"Hong Kong",1990,5,31,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-175994","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476700657","R-175994",780,"Lantau,Sunset Peak or Tai Tung Shan","ASIA","whole animal (ethanol)",NA,NA,0
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Opisthotropis andersonii",113.929039,22.228959,"Hong Kong",1990,6,24,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-175996","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476700659","R-175996",NA,"Lantau, Ma Po Ping","ASIA","whole animal (ethanol)",NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Opisthotropis andersonii",114.137719,22.409394,"Hong Kong",1990,7,19,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-175993","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476499146","R-175993",450,"SE slope of Tai Mo Shan","ASIA","whole animal (ethanol)",NA,"New Territories",0
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Opisthotropis andersonii",113.972491,22.27316,"Hong Kong",1990,7,27,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-175995","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476700658","R-175995",200,"Lantau,1.4km NE of Tai Tung Shan","ASIA","whole animal (ethanol)",NA,NA,0
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Opisthotropis andersonii",114.150256,22.272765,"Hong Kong",1990,10,1,"cdround,colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:217691","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1145527530","MVZ:Herp:217691",NA,"between Victoria Peak Tram Station and Pok Fu Lam Reservoir, Pok Fu Lam Country Park, Hong Kong Island","ASIA","whole organism",NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Opisthotropis andersonii",114.146541,22.389132,"Hong Kong",1988,5,10,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-173287","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476709519","R-173287",NA,"Shing Mun Catchwater","ASIA","whole animal (ethanol)",NA,"New Territories",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Opisthotropis andersonii",113.971863,22.263605,"Hong Kong",1987,3,11,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-172617","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476497902","R-172617",400,"Hong Kong,Lantau,Lin Fa Shan","ASIA","whole animal (ethanol)",NA,"New Territories",0
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Opisthotropis andersonii",113.926017,22.258313,"Hong Kong",1987,3,21,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-172616","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476699239","R-172616",NA,"Hong Kong,Lantau,Tei Tong Tsai (360m.)","ASIA","whole animal (ethanol)",NA,"New Territories",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Opisthotropis andersonii",114.137859,22.409331,"Hong Kong",1987,3,14,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-172662","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476712120","R-172662",650,"Hong Kong,New Territories,Tai Mo Shan","ASIA","whole animal (ethanol)",NA,"New Territories",0
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Opisthotropis andersonii",114.1667,22.4167,"Hong Kong",1987,5,2,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-172659","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476698819","R-172659",NA,"Hong Kong","ASIA","whole animal (ethanol)",NA,"New Territories",NA
"dfce4512-2062-4cd8-8ce7-bfe59cbbe6aa","MATERIAL_CITATION","PRESENT","Opisthotropis andersonii",114.20183,22.259033,NA,1929,1,NA,"gass84,osiic","http://treatment.plazi.org/id/1B666942FFDFFF97FF59FB31FBBC56A5","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1451078606",NA,252,"Tai Tam",NA,NA,NA,NA,NA
"dfce4512-2062-4cd8-8ce7-bfe59cbbe6aa","MATERIAL_CITATION","PRESENT","Opisthotropis andersonii",114.12003,22.41005,"Shan",1920,5,NA,"gass84,osiic","http://treatment.plazi.org/id/1B666942FFDFFF97FF59FB31FBBC56A5","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1451078607",NA,740,"Shan",NA,NA,NA,NA,NA
"dfce4512-2062-4cd8-8ce7-bfe59cbbe6aa","MATERIAL_CITATION","PRESENT","Opisthotropis andersonii",113.9854,22.643358,"Guangdong Province",NA,NA,NA,"gass84,rdativ,osiic","http://treatment.plazi.org/id/1B666942FFDFFF97FF59FB31FBBC56A5","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1451078609",NA,150,"Shenzhen City",NA,NA,NA,NA,NA
"dfce4512-2062-4cd8-8ce7-bfe59cbbe6aa","MATERIAL_CITATION","PRESENT","Opisthotropis andersonii",114.53973,22.504875,"Guangdong Province",NA,NA,NA,"gass84,rdativ,osiic","http://treatment.plazi.org/id/1B666942FFDFFF97FF59FB31FBBC56A5","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1451078610",NA,102,"Shenzhen City",NA,NA,NA,NA,NA
