"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","elevation","elevationAccuracy","continent","preparations","locality","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.105159,22.407252,"Yuen Long",2022,1,27,"cdround","https://www.inaturalist.org/observations/105663742","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3466467716","105663742",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.04494,22.374571,"Tsuen Wan",2022,3,3,"cdround","https://www.inaturalist.org/observations/107869651","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3712660530","107869651",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.095262,22.37225,"Tsuen Wan",2022,3,3,"cdround","https://www.inaturalist.org/observations/107869674","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3712677504","107869674",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.066929,22.276864,"Sham Shui Po",2022,3,18,"cdround","https://www.inaturalist.org/observations/109024456","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3746963683","109024456",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.148304,22.433655,"Tsuen Wan",2022,5,18,"cdround","https://www.inaturalist.org/observations/118507688","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3802574027","118507688",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.13353,22.557233,"Tsuen Wan",2022,6,29,"cdround","https://www.inaturalist.org/observations/124071090","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858904657","124071090",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.154067,22.40003,"Tsuen Wan",2022,6,28,"cdround","https://www.inaturalist.org/observations/123967058","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860332559","123967058",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.089378,22.420459,"Tai Po",2022,7,5,"cdround","https://www.inaturalist.org/observations/125042145","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3860260390","125042145",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.121467,22.408155,"Tsuen Wan",2022,7,5,"cdround","https://www.inaturalist.org/observations/125169571","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873224076","125169571",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.103616,22.407684,"Tsuen Wan",2021,3,13,"cdround","https://www.inaturalist.org/observations/71358524","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3061732440","71358524",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.144511,22.385143,"Tsuen Wan",2021,3,18,"cdround","https://www.inaturalist.org/observations/71535048","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3067745638","71535048",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.154861,22.394612,"Tsuen Wan",2021,4,21,"cdround","https://www.inaturalist.org/observations/74781600","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3097200590","74781600",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.135313,22.225198,"Tsuen Wan",2021,5,15,"cdround","https://www.inaturalist.org/observations/78836193","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3117810818","78836193",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.183918,22.390849,"Sha Tin",2021,5,16,"cdround","https://www.inaturalist.org/observations/79025277","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3118254063","79025277",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.12706,22.237226,"Tsuen Wan",2021,5,25,"cdround","https://www.inaturalist.org/observations/80246734","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3124720949","80246734",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.056681,22.408337,"Tsuen Wan",2021,6,8,"cdround","https://www.inaturalist.org/observations/82175982","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3302396064","82175982",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.097911,22.406321,"Yuen Long",2021,7,2,"cdround","https://www.inaturalist.org/observations/85441235","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3325582670","85441235",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.173897,22.374242,"Tsuen Wan",2021,7,11,"cdround","https://www.inaturalist.org/observations/107234530","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3698306032","107234530",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",113.837077,22.353113,"Islands",2021,10,6,"cdround,cudc","https://www.inaturalist.org/observations/107030580","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3698271682","107030580",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.118697,22.412115,"Yuen Long",2020,3,26,"cdround","https://www.inaturalist.org/observations/40791538","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2596396304","40791538",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.136515,22.535682,"Tsuen Wan",2020,4,19,"cdround","https://www.inaturalist.org/observations/44050595","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2611415461","44050595",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.010232,22.298982,"Tsuen Wan",2020,8,2,"cdround","https://www.inaturalist.org/observations/55184564","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2826257331","55184564",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.126591,22.446087,"Yuen Long",2020,11,15,"cdround","https://www.inaturalist.org/observations/65064359","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2988381268","65064359",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.137222,22.408933,"Tsuen Wan",2019,4,6,"cdround","https://www.inaturalist.org/observations/22260241","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2236272737","22260241",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.200195,22.58198,"Guangdong",2019,7,27,"","https://www.inaturalist.org/observations/29694231","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2992779397","29694231",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.131073,22.416606,"Tsuen Wan",2018,10,8,"cdround","https://www.inaturalist.org/observations/19751697","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1990541630","19751697",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.12411,22.425608,"Tai Po",2015,3,17,"","https://www.inaturalist.org/observations/1690743","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1571057351","1690743",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.130204,22.433472,"Tai Po",2015,6,8,"","https://www.inaturalist.org/observations/1690752","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1891354557","1690752",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.130177,22.433472,"Tai Po",2015,8,24,"","https://www.inaturalist.org/observations/2641431","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1291069248","2641431",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.130826,22.432332,"Tai Po",2013,5,30,"","https://www.inaturalist.org/observations/917248","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1891359960","917248",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.128723,22.409124,"Tsuen Wan",2013,7,6,"","https://www.inaturalist.org/observations/475383","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1052567165","475383",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.128943,22.405759,"Tsuen Wan",2013,7,13,"cdround","https://www.inaturalist.org/observations/47263213","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2634072541","47263213",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",113.920326,22.253989,"Islands",2011,7,12,"cdround","https://www.inaturalist.org/observations/31875","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1457580760","31875",NA,NA,NA,NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Opisthotropis kuatunensis",113.926802,22.257886,"Hong Kong",1993,5,19,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-179477","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476688139","R-179477",300,0,"ASIA","whole animal (ethanol)","Hong Kong:Lantau Tei Tong Tsai",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Opisthotropis kuatunensis",114.146541,22.389132,"Hong Kong",NA,NA,NA,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-173028","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476706994","R-173028",NA,NA,"ASIA","whole animal (ethanol)","Shing Mun","New Territories"
