"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","elevation","elevationAccuracy","continent","preparations","county","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sphenomorphus taiwanensis",120.985263,23.248188,"Taiwan",2020,6,2,"cdround","https://www.inaturalist.org/observations/48900357","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2814190635","48900357",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sphenomorphus taiwanensis",120.864788,23.483513,"Taiwan",2019,3,31,"cdround","https://www.inaturalist.org/observations/24247650","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2397469792","24247650",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sphenomorphus taiwanensis",121.284205,24.146239,"Taiwan",2019,8,18,"cdround","https://www.inaturalist.org/observations/31294462","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2429232649","31294462",NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sphenomorphus taiwanensis",121.28772,24.139205,NA,2016,6,28,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864138498",NA,NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sphenomorphus taiwanensis",121.281389,24.181389,"Taiwan",2014,6,1,"","https://www.inaturalist.org/observations/1063410","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1042815174","1063410",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sphenomorphus taiwanensis",121.171992,23.800436,"Taiwan",2012,4,16,"cdround","https://www.inaturalist.org/observations/14547253","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1978415492","14547253",NA,NA,NA,NA,NA,NA,NA
"83cbdde7-998f-4354-95de-72d885cc5863","OCCURRENCE","PRESENT","Sphenomorphus taiwanensis",121.057,24.672,NA,2006,6,7,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3774439606",NA,"<U+5927><U+576A><U+6A4B>",NA,NA,NA,NA,NA,NA
"83cbdde7-998f-4354-95de-72d885cc5863","OCCURRENCE","PRESENT","Sphenomorphus taiwanensis",120.74818,24.12699,NA,2005,3,15,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3774347709",NA,"<U+5167><U+57CE><U+6A4B>",NA,NA,NA,NA,NA,NA
"83cbdde7-998f-4354-95de-72d885cc5863","OCCURRENCE","PRESENT","Sphenomorphus taiwanensis",120.69948,24.0782,NA,2005,3,16,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3774353711",NA,"<U+8349><U+6E56><U+6A4B>",NA,NA,NA,NA,NA,NA
"83cbdde7-998f-4354-95de-72d885cc5863","OCCURRENCE","PRESENT","Sphenomorphus taiwanensis",120.68538,24.08943,NA,2005,3,16,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3774355690",NA,"<U+5927><U+885B><U+6A4B>",NA,NA,NA,NA,NA,NA
"83cbdde7-998f-4354-95de-72d885cc5863","OCCURRENCE","PRESENT","Sphenomorphus taiwanensis",120.70743,24.13143,NA,2005,3,16,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3774439667",NA,"<U+592A><U+5E73><U+6A4B>",NA,NA,NA,NA,NA,NA
"83cbdde7-998f-4354-95de-72d885cc5863","OCCURRENCE","PRESENT","Sphenomorphus taiwanensis",120.79448,24.08202,NA,2005,3,15,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3774445693",NA,"<U+6960><U+576A><U+6A4B>",NA,NA,NA,NA,NA,NA
"83cbdde7-998f-4354-95de-72d885cc5863","OCCURRENCE","PRESENT","Sphenomorphus taiwanensis",120.76608,24.19765,NA,2005,3,15,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3774453672",NA,"<U+5EE3><U+5FB7><U+6A4B>",NA,NA,NA,NA,NA,NA
"83cbdde7-998f-4354-95de-72d885cc5863","OCCURRENCE","PRESENT","Sphenomorphus taiwanensis",120.75155,24.18433,NA,2005,5,3,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3774352704",NA,"<U+5149><U+897F><U+540A><U+6A4B>",NA,NA,NA,NA,NA,NA
"83cbdde7-998f-4354-95de-72d885cc5863","OCCURRENCE","PRESENT","Sphenomorphus taiwanensis",120.75575,24.2587,NA,2005,5,5,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3774445674",NA,"<U+856D><U+5BB6><U+82B1><U+5712>",NA,NA,NA,NA,NA,NA
"83cbdde7-998f-4354-95de-72d885cc5863","OCCURRENCE","PRESENT","Sphenomorphus taiwanensis",120.7613,24.07751,NA,2005,5,2,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3774450655",NA,"<U+9F8D><U+8208><U+6A4B>",NA,NA,NA,NA,NA,NA
"fb93fb10-f1ca-11dd-b2d4-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT","Sphenomorphus taiwanensis",121.333333,24.166667,NA,1994,6,3,"cdround,cudc,gass84,txmatfuz,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2625264893","00002468",NA,NA,NA,NA,NA,NA,NA
"7a25f7aa-03fb-4322-aaeb-66719e1a9527","PRESERVED_SPECIMEN","PRESENT","Sphenomorphus taiwanensis",121.3,24.166667,NA,1994,7,20,"cdround,gass84,colmafu","http://portal.vertnet.org/o/lacm/herps?id=3a809d5a-dcd7-4a70-9f09-9557156a551b","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","657488340","145868","4 km east Tayulin",2600,0,NA,NA,"Hualien","PhysicalObject"
"8e479b8f-ac16-4bed-a11a-bc7e27c31663","PRESERVED_SPECIMEN","PRESENT","Sphenomorphus taiwanensis",121.078715,24.179191,"n/a",1991,5,30,"colmano,inmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1987179473","198984","HO-PING HO-HWAN-SHAN CA 2500 M",NA,NA,"ASIA","FLUID - 1","TAI-CHUNG","PhysicalObject"
"8e479b8f-ac16-4bed-a11a-bc7e27c31663","PRESERVED_SPECIMEN","PRESENT","Sphenomorphus taiwanensis",120.974436,23.970769,"n/a",1990,8,20,"colmano,inmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1987214746","198983","SHIN-YI HWY 18 AT KM POST 93.2 CA 2500 M",NA,NA,"ASIA","FLUID - 1","NAN-TOU","PhysicalObject"
"8e479b8f-ac16-4bed-a11a-bc7e27c31663","PRESERVED_SPECIMEN","PRESENT","Sphenomorphus taiwanensis",120.972034,23.972547,"n/a",1989,8,23,"colmano,inmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1987086974","190348","SHIN-YI / VALLEY OF SHA-LI-SHIEN CREEK DRAINAGE / ON RD NR TA-TA-JA 2700 M",NA,NA,"ASIA","FLUID - 1","NAN-TOU","PhysicalObject"
"8e479b8f-ac16-4bed-a11a-bc7e27c31663","PRESERVED_SPECIMEN","PRESENT","Sphenomorphus taiwanensis",120.821046,23.437318,"n/a",1987,7,8,"rdativ,colmano,inmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1987151878","183770","ALISHAN AT 2200 M INSIDE THE HOTEL",NA,NA,"ASIA","FLUID - 1","CHIA-I","PhysicalObject"
